epoch,accuracy,loss,val_accuracy,val_loss
0,0.37752559781074524,1.322879672050476,0.44092220067977905,1.2572579383850098
1,0.6620537042617798,0.957383394241333,0.6657060384750366,0.9010257124900818
2,0.797121524810791,0.5629624724388123,0.6829971075057983,0.8114063739776611
3,0.8461112380027771,0.41545408964157104,0.7031700015068054,0.7667850852012634
4,0.8809853196144104,0.3281043767929077,0.6685879230499268,0.8305575251579285
5,0.9042347073554993,0.27370163798332214,0.680115282535553,0.8721418976783752
6,0.9252698421478271,0.22989065945148468,0.6628242135047913,0.9220346212387085
7,0.9310821890830994,0.19870327413082123,0.6887608170509338,0.9697689414024353
8,0.950179934501648,0.1632111370563507,0.6887608170509338,1.0190856456756592
9,0.9618045687675476,0.13451455533504486,0.680115282535553,1.060017466545105
10,0.9618045687675476,0.1269707828760147,0.6829971075057983,1.1264134645462036
11,0.9631884694099426,0.1192459985613823,0.6829971075057983,1.170149326324463
12,0.9690008163452148,0.10213273018598557,0.6772334575653076,1.2293239831924438
13,0.971491813659668,0.09770644456148148,0.6772334575653076,1.241648554801941
14,0.9706615209579468,0.09775104373693466,0.6599423885345459,1.3003652095794678
15,0.972045361995697,0.09365861862897873,0.6628242135047913,1.340883493423462
16,0.9731525182723999,0.08135568350553513,0.6657060384750366,1.3687219619750977
17,0.9748131632804871,0.07497265189886093,0.6685879230499268,1.3970284461975098
18,0.975089967250824,0.07507656514644623,0.6657060384750366,1.4209508895874023
19,0.976473867893219,0.07646342366933823,0.6657060384750366,1.4439102411270142
20,0.975643515586853,0.07245253026485443,0.6657060384750366,1.456382155418396
21,0.9748131632804871,0.06990379840135574,0.6657060384750366,1.4531147480010986
22,0.9775809645652771,0.0656147450208664,0.6685879230499268,1.4786372184753418
23,0.9778577089309692,0.06602609902620316,0.651296854019165,1.6013386249542236
24,0.9748131632804871,0.0689123198390007,0.6685879230499268,1.5051158666610718
